,neg_hu
0,elhagyott 
1,elhagyatott 
2,elhagyás 
3,lemondás 
4,elhagy 
5,elkeseredett 
6,bosszant 
7,bántalmazó 
8,bosszúságok 
9,felemelkedő 
10,rendellenesség 
11,bátorság 
12,rendellenes 
13,rendellenességek 
14,rendellenesen 
15,eltöröl 
16,eltörölt 
17,eltörli 
18,eltörlés 
19,megszüntet 
20,megszűnt 
21,hatályon kívül helyezés 
22,megszüntetés 
23,hirtelen 
24,hirtelenség 
25,hiány 
26,távollétek 
27,hiányzás 
28,visszaélés 
29,bántalmazott 
30,visszaélések 
31,bántalmazás 
32,visszaélésszerű 
33,visszaélve 
34,bántalmazhatatlanság 
35,baleset 
36,véletlen 
37,véletlenül 
38,balesetek 
39,vád 
40,vádak 
41,vádol 
42,vádlott 
43,vádló 
44,beleegyezik 
45,beleegyezett 
46,beleegyez 
47,beleegyezés 
48,megszabadít 
49,felszabadít 
50,felmentés 
51,felmentett 
52,felszabadítás 
53,hamisít 
54,hamisított 
55,hamisítvány 
56,hamisítás 
57,házasságtörések 
58,ellentétes 
59,ellenfelek 
60,ellenség 
61,kedvezőtlen 
62,hátrányosan 
63,csapás 
64,balsors 
65,utóhatás 
66,utóhatások 
67,ellen 
68,súlyosbít 
69,súlyosbodó 
70,súlyosbító 
71,súlyosbodás 
72,súlyosbülés 
73,riasztott 
74,riasztás 
75,elidegenít 
76,elidegenedett 
77,elidegenítés 
78,elidegenedések 
79,állítás 
80,állítások 
81,állít 
82,állítólagos 
83,állítólag 
84,alapul 
85,bosszúság 
86,bosszús 
87,bosszantó 
88,érvénytelenít 
89,megsemmisített 
90,megsemmisítés 
91,megsemmisítések 
92,megsemmisít 
93,anomáliák 
94,anomális módon 
95,versenyellenes 
96,trösztellenes 
97,vitatkozik 
98,vitatkozott 
99,érv 
100,érvelő 
101,érvek 
102,mellékhelyiség 
103,hátralék 
104,hátralékok 
105,letartóztatás 
106,letartóztatott 
107,letartóztatások 
108,mesterségesen 
109,támadás 
110,támadt 
111,támadások 
112,felőrülés 
113,elkerülhetetlenül 
114,backdating 
115,rossz 
116,óvadék 
117,bailout 
118,gerenda 
119,akadályozott 
120,csődbe jutott 
121,csődök 
122,csőd 
123,becsődölt 
124,csődbe jutás 
125,tiltakozók 
126,rácsos 
127,akadály 
128,akadályok 
129,palacknyak 
130,szűk keresztmetszetek 
131,bojkott 
132,bojkottált 
133,bojkottálás 
134,bojkottok 
135,megszeg 
136,megsértett 
137,megsértés 
138,átjárónyitás 
139,szünet 
140,törés 
141,törések 
142,bontás 
143,szünetek 
144,megveszteget 
145,megvesztegetett 
146,megvesztegetések 
147,megvesztegetés 
148,kenőpénz 
149,megvesztegető 
150,híd 
151,törött 
152,teher 
153,terhelt 
154,terhelés 
155,terhek 
156,megterhelő 
157,égett 
158,katasztrófa 
159,szerencsétlen 
160,megszünteti 
161,törölve 
162,törlés 
163,törli 
164,gondatlan 
165,gondatlanul 
166,figyelmetlenség 
167,végzetes 
168,katasztrofálisan 
169,vigyázat 
170,figyelmeztető 
171,figyelmeztetett 
172,figyelmeztetés 
173,óvatosság 
174,megszűnik 
175,cenzúra 
176,cenzúrázott 
177,cenzúrázás 
178,kihívás 
179,vitatott 
180,kihívások 
181,kihívást jelentő 
182,töltés 
183,megkerülése 
184,megkerületlen 
185,megkerülve 
186,kijátszás 
187,megkerül 
188,követel 
189,követelések 
190,clawback 
191,zárva 
192,zárni 
193,closeouts 
194,záró 
195,lezárások 
196,bezárás 
197,lezárás 
198,kényszerít 
199,kényszerített 
200,kényszerítés 
201,kényszerítő 
202,összeomlás 
203,összeomlott 
204,összeomlik 
205,ütközés 
206,ütközések 
207,összeszedély 
208,összeütközött 
209,összejátszás 
210,kollektívák 
211,összegyűjtő 
212,panaszkodik 
213,panaszkodott 
214,panasz 
215,panaszok 
216,bonyolít 
217,bonyolult 
218,bonyolítja 
219,szövődmény 
220,szövődmények 
221,kényszer 
222,rejtett 
223,elrejtés 
224,granta. 
225,elismert 
226,támogatások 
227,elismerő 
228,vonatkozik 
229,érintett 
230,aggodalmak 
231,egyeztető 
232,békéltetés 
233,egyeztetés 
234,elítél 
235,kárhoztatás 
236,elítélések 
237,elítélt 
238,elítélése 
239,megbocsát 
240,kondonozott 
241,bevallani 
242,bevallott 
243,bevallja 
244,bevallgatás 
245,gyónás 
246,határ 
247,korlátozott 
248,szülés 
249,szombat 
250,korlátoz 
251,megfélemlít 
252,lefoglalt 
253,elkobozta 
254,elkobozza 
255,elkobzás 
256,konfliktus 
257,ellentmondó 
258,konfliktusok 
259,szembeszáll 
260,szembesítés 
261,konfrontációs 
262,konfrontációk 
263,szembesülve 
264,szembeszállva 
265,szembesül 
266,megzavar 
267,zavaros 
268,zavaró 
269,összezavaróan 
270,zavar 
271,összeesküvés 
272,összeesküvő 
273,összeesküvéses 
274,összeesküvők 
275,összeesküszik 
276,összeesküvik 
277,megvetés 
278,vitat 
279,tartott 
280,vészhelyzet 
281,veszekedés 
282,vitás 
283,vitatottan 
284,vitatás 
285,összehúzódás 
286,összehúzódások 
287,ellentmond 
288,ellentmondott 
289,ellentmondás 
290,ellentmondások 
291,vita 
292,elítélő 
293,meggyőződés 
294,kijavított 
295,kijavítás 
296,javítás 
297,javítások 
298,kijavít 
299,korrupt 
300,sérült 
301,korrupció 
302,korruptok 
303,korruptság 
304,drága 
305,ellenkereset 
306,ellenkereső 
307,pénzhamisító 
308,hamisítók 
309,hamisítványok 
310,ellenintézkedés 
311,ellenintézkedések 
312,bűn 
313,bűncselekmények 
314,bűnügyi 
315,bűnösen 
316,bűnözők 
317,válságok 
318,válság 
319,kritikai 
320,kritikusan 
321,kritika 
322,kritikák 
323,kritizál 
324,kritizálta 
325,alapvető 
326,döntően 
327,bűnösség 
328,bűnös 
329,rögtönzőleg 
330,nehézkes 
331,csökkent 
332,korlátozó 
333,csökkentés 
334,korlátozás 
335,vágott 
336,vágás 
337,cutbacks 
338,cyber ​​támadás. 
339,cyberttacks 
340,internetes zaklatás 
341,számítógépes bűnözés 
342,cybercrimes 
343,cybercriminalis 
344,cybercriminals 
345,kár 
346,kártérítés 
347,káros 
348,csillapít 
349,csillapított 
350,veszély 
351,veszélyes 
352,veszélyesen 
353,veszélyek 
354,holtpont 
355,holtpontos 
356,holtpontok 
357,holttömegű 
358,holtsúlyok 
359,zsidóság 
360,zsinórok 
361,degarred 
362,elhunyt 
363,csalás 
364,csaló 
365,megtéveszt 
366,megtévesztett 
367,megtévesztés 
368,megtévesztő 
369,megtévesztően 
370,hanyatlás 
371,elutasította 
372,csökkenés 
373,hanyatló 
374,eltorzít 
375,megfertőzött 
376,eltorzítás 
377,rágalmazás 
378,gyalázatok 
379,gyalázkodó 
380,rágalmaz 
381,rágalmazott 
382,hibás 
383,gyalázat 
384,alapértelmezett 
385,teljesített 
386,alapértékek 
387,vereség 
388,legyőzött 
389,legyőzése 
390,legyőz 
391,disszidál 
392,hibák 
393,megvéd 
394,alperes 
395,vádlottak 
396,védekezett 
397,védekezés 
398,védekező 
399,elhalasztja 
400,hiányosságok 
401,hiányos 
402,deficits 
403,tagadás 
404,megtagadott 
405,degradáció 
406,lecsökken 
407,degradált 
408,degradál 
409,megalázó 
410,késleltetés 
411,késleltetett 
412,késedelmek 
413,szándékos 
414,megfontolt 
415,szándékosan 
416,vétkes 
417,bűncselekmény 
418,delista 
419,átruházott 
420,delisting 
421,terjeszt 
422,lemér 
423,elpusztított 
424,csecsemők 
425,lebontás 
426,lebontott 
427,lebontja 
428,lefokoz 
429,elterjedt 
430,demotes 
431,demoting 
432,lefokozás 
433,demotionok 
434,megtagadások 
435,megtagad 
436,tagadja 
437,elpusztít 
438,elpusztult 
439,denigráló 
440,hírnévrontás 
441,tagadni 
442,kimerít 
443,kimerült 
444,kimerülés 
445,kimerültség 
446,rosszallás 
447,lenyom 
448,nyomott 
449,nyomasztó 
450,megfoszt 
451,megfosztott 
452,elhanyagolás 
453,méltatlan 
454,destabilizáció 
455,destabilizál 
456,destabilizált 
457,destabilizing 
458,elpusztítani 
459,megsemmisült 
460,romboló 
461,visszatart 
462,visszatartott 
463,fogva tartás 
464,befordulás 
465,megakadályoz 
466,romlik 
467,romlott 
468,romló 
469,romlás 
470,romlások 
471,elrettentés 
472,elrettentő 
473,visszatartás 
474,elront 
475,elrontott 
476,megsértő 
477,kárpótlás 
478,hátrányos 
479,károsodások 
480,leértékel 
481,leértékelt 
482,leértékelő 
483,pusztító 
484,pusztulás 
485,eltér 
486,eltérített 
487,eltérít 
488,eltérítő 
489,eltérés 
490,visszaadja 
491,dudorított 
492,szétszór 
493,ferde 
494,nehéz 
495,nehézségek 
496,nehézség 
497,csökken 
498,csökkentett 
499,csökkenő 
500,hátrány 
501,hátrányok 
502,diszkilitás 
503,nem ért egyet 
504,kellemetlen 
505,nem értett egyet 
506,nézeteltérés 
507,nézeteltérések 
508,letilt 
509,elutasítás 
510,tiltott 
511,tiltás 
512,letiltja 
513,eltűnik 
514,eltűnés 
515,eltűnések 
516,eltűnt 
517,csalódást okoz 
518,csalódott 
519,kiábrándító 
520,csalódottan 
521,csalódás 
522,csalódások 
523,elutasít 
524,elutasított 
525,elutasítja 
526,elutasító 
527,szétszakít 
528,szétszedés 
529,szétválasztás 
530,katasztrófák 
531,katasztrofális 
532,tagad 
533,elhajlítás 
534,fegyelmi 
535,felelősségi nyilatkozat 
536,jogi nyilatkozatok 
537,nem kötelezve 
538,disszaciák 
539,közzétesz 
540,nyilvánosságra 
541,közzéteszi 
542,közzététel 
543,megszakítás 
544,abbahagyás 
545,abbahagy 
546,megszakított 
547,szakaszos 
548,elbátortalan 
549,elriaszt 
550,diszkreditált 
551,eltérő 
552,diszkrétek 
553,eltérések 
554,helytelenít 
555,kiürített 
556,kiirtás 
557,kiad 
558,eldugult 
559,zavarba ejtés 
560,rendezvények 
561,elakad 
562,dugó 
563,szégyen 
564,szégyenletes 
565,szégyenletesen 
566,tisztességtelen 
567,tisztességtelenül 
568,tisztességtelenség 
569,becstelenség 
570,becstelen 
571,megrontott 
572,tisztességesek 
573,elzárhatatlanul 
574,önzetlen 
575,érdemes 
576,érdektelenség 
577,hűtlen 
578,haszontalanul 
579,hűtlenség 
580,komor 
581,szétbont 
582,elbocsátás 
583,rendetlen 
584,becsmérel 
585,eltérítetlen 
586,becsmérlés 
587,különbség 
588,becsmérlő 
589,elterjedtebben 
590,egyenlőtlenségek 
591,kiszorít 
592,elmozdult 
593,elmozdulás 
594,kiszorítás 
595,eldob 
596,kisemmiz 
597,aránytalanság 
598,aránytalan 
599,aránytalanul 
600,viták 
601,diszkvalifikáció 
602,kizárás 
603,diszkvalifikált 
604,disqualifies 
605,kizár 
606,figyelmen kívül hagy 
607,figyelmen kívül hagyott 
608,figyelmen kívül hagyva 
609,rosszhírű 
610,megrémít 
611,megszakadt 
612,megzavarás 
613,zavarok 
614,bomlasztó 
615,megszakít 
616,elégedetlenség 
617,elégedetlen 
618,elpártoló 
619,disszonszerek 
620,dicséret 
621,szakadár 
622,disszidensek 
623,feloldás 
624,torzít 
625,eltorzult 
626,torzító 
627,torzítás 
628,torzulások 
629,elvonít 
630,zaklatott 
631,zavaróság 
632,zavaró tényezők 
633,elvonja 
634,szorongás 
635,szomorú 
636,zavarás 
637,zavart 
638,elterelés 
639,átirányítás 
640,átirányított 
641,eladás 
642,elengedés 
643,eladások 
644,válás 
645,elvált 
646,megkülönböztet 
647,elismerés 
648,elosztás 
649,kétség 
650,kételkedett 
651,kétséges 
652,kétségek 
653,visszaminősítés 
